N matrix d Alg SH throughput
8 skew-8-0.7 2 Optimal NA 0.6392694337827063
8 skew-8-0.7 3 Optimal NA 0.7659932659932661
8 skew-8-0.7 4 Optimal NA 0.7720588235294119
8 skew-8-0.7 5 Optimal NA 0.8193384223918576
8 skew-8-0.7 6 Optimal NA 0.8449396612904924
8 skew-8-0.7 7 Optimal NA 0.8536585392987815
8 skew-8-0.8 2 Optimal NA 0.660377401825495
8 skew-8-0.8 3 Optimal NA 0.7561728498038572
8 skew-8-0.8 4 Optimal NA 0.8230198028597904
8 skew-8-0.8 5 Optimal NA 0.8333333496552449
8 skew-8-0.8 6 Optimal NA 0.8442982456140351
8 skew-8-0.8 7 Optimal NA 0.8706468148533648
8 skew-8-0.9 2 Optimal NA 0.7954545454545457
8 skew-8-0.9 3 Optimal NA 0.7954545777228791
8 skew-8-0.9 4 Optimal NA 0.8212996389891698
8 skew-8-0.9 5 Optimal NA 0.8544600957607466
8 skew-8-0.9 6 Optimal NA 0.8778317171989568
8 skew-8-0.9 7 Optimal NA 0.8980582534247536
16 data-parallelism 4 Optimal NA 1.0
16 data-parallelism 6 Optimal NA 1.0
16 data-parallelism 8 Optimal NA 1.0
16 data-parallelism 10 Optimal NA 1.0
16 data-parallelism 12 Optimal NA 1.0
16 data-parallelism 14 Optimal NA 1.0
16 hybrid-parallelism 4 Optimal NA 1.0
16 hybrid-parallelism 6 Optimal NA 1.0
16 hybrid-parallelism 8 Optimal NA 1.0
16 hybrid-parallelism 10 Optimal NA 1.0
16 hybrid-parallelism 12 Optimal NA 1.0
16 hybrid-parallelism 14 Optimal NA 1.0
16 heatmap1 4 Optimal NA 1.0
16 heatmap1 6 Optimal NA 1.0
16 heatmap1 8 Optimal NA 1.0
16 heatmap1 10 Optimal NA 1.0
16 heatmap1 12 Optimal NA 1.0
16 heatmap1 14 Optimal NA 1.0
16 heatmap2 4 Optimal NA 0.9998764079982979
16 heatmap2 6 Optimal NA 1.0
16 heatmap2 8 Optimal NA 1.0
16 heatmap2 10 Optimal NA 1.0
16 heatmap2 12 Optimal NA 1.0
16 heatmap2 14 Optimal NA 1.0
16 heatmap3 4 Optimal NA 1.0
16 heatmap3 6 Optimal NA 1.0
16 heatmap3 8 Optimal NA 1.0
16 heatmap3 10 Optimal NA 1.0
16 heatmap3 12 Optimal NA 1.0
16 heatmap3 14 Optimal NA 1.0
16 topoopt 4 Optimal NA 1.0
16 topoopt 6 Optimal NA 1.0
16 topoopt 8 Optimal NA 1.0
16 topoopt 10 Optimal NA 1.0
16 topoopt 12 Optimal NA 1.0
16 topoopt 14 Optimal NA 1.0
16 chessboard-16 4 Optimal NA 0.5515650741350904
16 chessboard-16 6 Optimal NA 0.6567796654339663
16 chessboard-16 8 Optimal NA 0.81578947368421
16 chessboard-16 10 Optimal NA 0.8611111111111112
16 chessboard-16 12 Optimal NA 0.8773584905660377
16 chessboard-16 14 Optimal NA 0.857645875251509
16 uniform-16 4 Optimal NA 0.548780487804878
16 uniform-16 6 Optimal NA 0.62500014796775
16 uniform-16 8 Optimal NA 0.6818181818181823
16 uniform-16 10 Optimal NA 0.75
16 uniform-16 12 Optimal NA 0.8333333374806093
16 uniform-16 14 Optimal NA 0.9375000000000001
16 permutation-16 4 Optimal NA 1.0
16 permutation-16 6 Optimal NA 1.0
16 permutation-16 8 Optimal NA 1.0
16 permutation-16 10 Optimal NA 1.0
16 permutation-16 12 Optimal NA 1.0
16 permutation-16 14 Optimal NA 1.0
16 random-skewed-16 4 Optimal NA 0.7894641357227332
16 random-skewed-16 6 Optimal NA 0.8631803724939741
16 random-skewed-16 8 Optimal NA 0.8927622155701468
16 random-skewed-16 10 Optimal NA 0.9141058535387124
16 random-skewed-16 12 Optimal NA 0.9300891366764644
16 random-skewed-16 14 Optimal NA 0.9386317939337373
16 Sinkhorn_data-parallelism 4 Optimal NA 0.9999079655596623
16 Sinkhorn_data-parallelism 6 Optimal NA 0.9999079655596624
16 Sinkhorn_data-parallelism 8 Optimal NA 0.9999079655596625
16 Sinkhorn_data-parallelism 10 Optimal NA 0.9999079655596625
16 Sinkhorn_data-parallelism 12 Optimal NA 0.9999079655596623
16 Sinkhorn_data-parallelism 14 Optimal NA 0.9999079655596624
16 Sinkhorn_hybrid-parallelism 4 Optimal NA 0.977280434065834
16 Sinkhorn_hybrid-parallelism 6 Optimal NA 0.977280433858841
16 Sinkhorn_hybrid-parallelism 8 Optimal NA 0.977280431566136
16 Sinkhorn_hybrid-parallelism 10 Optimal NA 0.9772804340101617
16 Sinkhorn_hybrid-parallelism 12 Optimal NA 0.9772804322297829
16 Sinkhorn_hybrid-parallelism 14 Optimal NA 0.9772804318706205
16 Sinkhorn_heatmap1 4 Optimal NA 0.9799279928218342
16 Sinkhorn_heatmap1 6 Optimal NA 0.9799280123331723
16 Sinkhorn_heatmap1 8 Optimal NA 0.979927995929255
16 Sinkhorn_heatmap1 10 Optimal NA 0.9799279928218333
16 Sinkhorn_heatmap1 12 Optimal NA 0.9799279928218335
16 Sinkhorn_heatmap1 14 Optimal NA 0.9799279928218335
16 Sinkhorn_heatmap2 4 Optimal NA 0.9385348264777106
16 Sinkhorn_heatmap2 6 Optimal NA 0.938534826685903
16 Sinkhorn_heatmap2 8 Optimal NA 0.938534828004813
16 Sinkhorn_heatmap2 10 Optimal NA 0.9404032466335722
16 Sinkhorn_heatmap2 12 Optimal NA 0.9483515889944674
16 Sinkhorn_heatmap2 14 Optimal NA 0.9542419778649442
16 Sinkhorn_heatmap3 4 Optimal NA 0.9778532486037775
16 Sinkhorn_heatmap3 6 Optimal NA 0.9778532557059352
16 Sinkhorn_heatmap3 8 Optimal NA 0.9778532486037773
16 Sinkhorn_heatmap3 10 Optimal NA 0.9778532553358381
16 Sinkhorn_heatmap3 12 Optimal NA 0.9778532486037772
16 Sinkhorn_heatmap3 14 Optimal NA 0.9778532557059352
16 Sinkhorn_topoopt 4 Optimal NA 0.8136787057931366
16 Sinkhorn_topoopt 6 Optimal NA 0.9181687835831428
16 Sinkhorn_topoopt 8 Optimal NA 0.9071352033805337
16 Sinkhorn_topoopt 10 Optimal NA 0.9401475870305601
16 Sinkhorn_topoopt 12 Optimal NA 0.9440799772569978
16 Sinkhorn_topoopt 14 Optimal NA 0.9483526343127848
16 skew-16-0.1 4 Optimal NA 0.5690894568690098
16 skew-16-0.1 6 Optimal NA 0.6493506493506498
16 skew-16-0.1 8 Optimal NA 0.7042254670298369
16 skew-16-0.1 10 Optimal NA 0.753424657534247
16 skew-16-0.1 12 Optimal NA 0.8084577114427862
16 skew-16-0.1 14 Optimal NA 0.8928571428571429
16 skew-16-0.3 4 Optimal NA 0.6103187919463089
16 skew-16-0.3 6 Optimal NA 0.6804649869616796
16 skew-16-0.3 8 Optimal NA 0.7267442576865523
16 skew-16-0.3 10 Optimal NA 0.753768873725094
16 skew-16-0.3 12 Optimal NA 0.7911392405063293
16 skew-16-0.3 14 Optimal NA 0.8385093261878788
16 skew-16-0.5 4 Optimal NA 0.6292517159937328
16 skew-16-0.5 6 Optimal NA 0.7067812936204537
16 skew-16-0.5 8 Optimal NA 0.7489946380697052
16 skew-16-0.5 10 Optimal NA 0.7777777777777778
16 skew-16-0.5 12 Optimal NA 0.8018868108915675
16 skew-16-0.5 14 Optimal NA 0.8241758241758241
16 skew-16-0.7 4 Optimal NA 0.683347361438519
16 skew-16-0.7 6 Optimal NA 0.7454942654287272
16 skew-16-0.7 8 Optimal NA 0.7940471434278865
16 skew-16-0.7 10 Optimal NA 0.8232235701906412
16 skew-16-0.7 12 Optimal NA 0.8333333333333334
16 skew-16-0.7 14 Optimal NA 0.8474576271186441
16 skew-16-0.9 4 Optimal NA 0.7812500011443569
16 skew-16-0.9 6 Optimal NA 0.8363289560560487
16 skew-16-0.9 8 Optimal NA 0.843006171025566
16 skew-16-0.9 10 Optimal NA 0.8742331288343562
16 skew-16-0.9 12 Optimal NA 0.8901399878271458
16 skew-16-0.9 14 Optimal NA 0.8973134072954398
16 skew-16-0.2 4 Optimal NA 0.5897545568204221
16 skew-16-0.2 6 Optimal NA 0.6717850306906799
16 skew-16-0.2 8 Optimal NA 0.700934670565967
16 skew-16-0.2 10 Optimal NA 0.7575758409290533
16 skew-16-0.2 12 Optimal NA 0.7954545454545454
16 skew-16-0.2 14 Optimal NA 0.8591644204851754
16 skew-16-0.4 4 Optimal NA 0.602021294293795
16 skew-16-0.4 6 Optimal NA 0.6997760716570698
16 skew-16-0.4 8 Optimal NA 0.7352941176470588
16 skew-16-0.4 10 Optimal NA 0.7575757575757576
16 skew-16-0.4 12 Optimal NA 0.7936508209122594
16 skew-16-0.4 14 Optimal NA 0.827526132404181
16 skew-16-0.6 4 Optimal NA 0.6739755571531272
16 skew-16-0.6 6 Optimal NA 0.7354721549636801
16 skew-16-0.6 8 Optimal NA 0.7776456880127222
16 skew-16-0.6 10 Optimal NA 0.8034543069523389
16 skew-16-0.6 12 Optimal NA 0.8152173913043472
16 skew-16-0.6 14 Optimal NA 0.827205882352941
16 skew-16-0.8 4 Optimal NA 0.7219145569620252
16 skew-16-0.8 6 Optimal NA 0.7885657959586001
16 skew-16-0.8 8 Optimal NA 0.8113449120463148
16 skew-16-0.8 10 Optimal NA 0.8448157078883909
16 skew-16-0.8 12 Optimal NA 0.8564370024704913
16 skew-16-0.8 14 Optimal NA 0.8737132814461458
